store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
2682862745480004817,60,10,72,0,0,0
4158669911719118033,60,13,91,0,0,0
7147073759242421457,60,10,76,0,0,0
8524384268681610450,60,18,129,0,0,0
9084273254897517786,60,23,71,0,0,0
5362906248373372126,60,11,79,0,0,0
253923395862299876,60,12,97,0,0,0
1117225057788003557,60,23,63,0,0,104
8218609038569702628,60,5,22,0,0,66
921857799091881195,60,23,77,0,0,0
6452055047078479081,60,23,144,0,0,23
3479786828420678892,60,15,106,0,0,0
8099887123764774128,60,10,73,0,0,0
9058073483445175539,0,0,8,60,4,48
5545660347511407862,60,9,63,0,0,0
6639045005250299128,60,20,141,0,0,1
5003980265915974906,60,23,167,0,0,0
6885286965424096509,60,17,125,0,0,0
2022952390848873727,60,23,167,0,0,0
3728524387468313859,0,0,8,60,8,51
118180560078308617,60,7,82,0,0,0
2225237491800114444,0,0,0,60,8,67
535349685582365965,60,9,110,0,0,0
2362742112343065870,60,17,119,0,0,0
7549938997280081169,0,2,8,60,10,97
3170536964159472918,60,13,90,0,0,0
5075099231683773717,60,23,80,0,0,0
2377210718332421400,60,14,101,0,0,0
5699540654486881559,60,8,81,0,0,0
6380040368626631959,60,23,97,0,0,0
12572597046904092,60,8,73,0,0,0
6782621807755068702,60,23,167,0,0,0
5159242830714471711,60,20,141,0,0,1
6193230613892891936,60,11,88,0,0,0
2296314355990594850,60,14,98,0,0,0
2983629168699704615,60,19,100,0,0,16
6114371731641795880,60,17,125,0,0,0
8100204669004416300,0,0,11,60,11,66
7722398233697060141,60,12,86,0,0,0
3438634282433807671,60,23,167,0,0,0
7541474527066228022,0,0,11,60,7,65
1904872343838360890,60,8,42,0,0,17
8366631697653925178,60,23,143,0,0,24
1464050994304681283,60,14,101,0,0,0
207553092401694021,60,23,167,0,0,0
7240818076252669257,60,13,91,0,0,0
5862424325229086027,60,16,45,0,0,69
1425375976455079246,60,7,52,0,0,0
2190099651007677778,60,11,80,0,0,0
6308351242259465553,60,17,111,0,0,19
6802170958662206802,60,23,98,0,0,0
2953461238448293214,60,23,39,0,0,43
3648849898208232798,60,23,102,0,0,0
1260186185512093034,60,14,98,0,0,0
1529738499133900143,60,16,112,0,0,0
3812529435939210607,60,10,70,0,0,0
571462598420268401,60,6,50,0,0,0
4765299198835492208,60,7,66,0,0,0
2378834470095357297,60,23,167,0,0,0
7114762754682979701,0,0,12,60,12,72
8874647403927700855,60,16,160,0,0,0
6970809066028139896,0,5,14,60,18,130
5618202929726326138,60,1,7,0,0,64
2967049083311293817,60,10,85,0,0,0
2960630314821420416,60,12,68,0,0,19
1361326739243009411,60,6,47,0,0,0
8099747028906804612,60,14,89,0,0,0
6180038541867353479,0,7,13,60,16,84
1914838051516450190,60,10,97,0,0,0
5867942335016338829,0,0,10,60,10,63
465169154671904148,60,6,42,0,0,0
7001015127375054226,0,6,37,60,17,112
8804804544092669333,60,4,78,0,0,0
2680277740070438303,60,11,80,0,0,0
4453200001850213794,60,23,167,0,0,0
3453231999163270566,60,15,108,0,0,0
8653795445027898790,0,0,9,60,9,56
2205843128130078127,0,0,10,60,10,60
1417699934190929327,0,10,10,60,13,78
1311583659343152560,60,14,98,0,0,0
3578184170068608432,0,0,0,60,11,82
899517635521217973,60,10,76,0,0,0
7535412366097548723,60,8,95,0,0,0
6611391190144124339,0,0,0,60,9,75
2361539234601960887,60,12,105,0,0,0
